epoch,g_loss,d_loss,Dg_R,Dg_F,Dl_R,Dl_F,ACg_R,ACg_F,ACl_R,ACl_F
306,nan,nan,0.715625,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
307,nan,nan,0.740625,0.0,0.5375,0.0,1.0,0.5,1.0,0.5
308,nan,nan,0.765625,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
309,nan,nan,0.71875,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
310,nan,nan,0.73125,0.0,0.55,0.0,1.0,0.5,1.0,0.5
311,nan,nan,0.7625,0.0,0.53125,0.0,1.0,0.5,1.0,0.5
312,nan,nan,0.75,0.0,0.521875,0.0,1.0,0.5,1.0,0.5
313,nan,nan,0.76875,0.0,0.55,0.0,1.0,0.5,1.0,0.5
314,nan,nan,0.74375,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
315,nan,nan,0.734375,0.0,0.55,0.0,1.0,0.5,1.0,0.5
316,nan,nan,0.74375,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
317,nan,nan,0.759375,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
